,,,,,,
,"Instrucciones: (Revisar: """,,,,,
,5,Muy bien producto cumple con lo prometido y muy buena calidad 100% recomendable y muy puntual con las entregas,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente calidad y es exactamente lo que ofrecen 10/10,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,2,"Pésima presentación, las gomas son muy duras y de mal sabor.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,Soy consumidora frecuente y apenas senti el efecto tal vez funcione si no fumas tanto,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,"Poca potencia, recomendable para novatos o con poca experiencia",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Sin duda fue de las mejores experiencias que tuve con ese producto súper súper relajado súper bien.,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy bueno el producto! Creo q esta bien para principiantes y para intermedios en consumo! Lo recomiendo si estas buscando divertirte y pasarla bien,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Buen sabor, coloca bien, buen precio",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Muy buenas pero un tanto leves al menos para mi, muy rico sabor y aroma y los efectos estan chidos y relax, recomiendo para consumidores medios",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Es bueno, solo que unas veces me pega más que otras y no se la razón",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Este producto lo recomiendo altamente para gente experimentada ya que tiene un gran efecto y está muy rico, gracias.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buenas para quienes van iniciando, te hacen viaje mucho, para los más avanzados es una experiencia leve",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto te pone chido,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente todo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, 1 gomita es suficiente si no sueles consumir seguido",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy buen producto 100 recomendado lo seguiré comprando sin duda esta fuerte,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelentes productos y aún mejor delivery! 100/10,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto! 100% confiable,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"100% recomendando, obvio voy a volver a comprar. Me encantó que me llegó el mismo día y a super buena hora",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Buen producto, un sabor muy rico y cumple con las especificaciones, recomendado 100%",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Está bien el producto es pegador, entonces lo recomiendo y más por su costo.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Lo recomiendo bastante, cumple las Expectativas y Tiene buen sabor 👌",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Delish delish!!!!😎,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Me puso hasta mi ptm, 100%",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy bueno el producto! Creo q esta bien para principiantes y para intermedios en consumo! Lo recomiendo si estas buscando divertirte y pasarla bien,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Buen sabor, coloca bien, buen precio",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Muy buenas pero un tanto leves al menos para mi, muy rico sabor y aroma y los efectos estan chidos y relax, recomiendo para consumidores medios",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Es bueno, solo que unas veces me pega más que otras y no se la razón",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Este producto lo recomiendo altamente para gente experimentada ya que tiene un gran efecto y está muy rico, gracias.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buenas para quienes van iniciando, te hacen viaje mucho, para los más avanzados es una experiencia leve",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto te pone chido,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente todo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, 1 gomita es suficiente si no sueles consumir seguido",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy buen producto 100 recomendado lo seguiré comprando sin duda esta fuerte,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelentes productos y aún mejor delivery! 100/10,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto! 100% confiable,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"100% recomendando, obvio voy a volver a comprar. Me encantó que me llegó el mismo día y a super buena hora",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Buen producto, un sabor muy rico y cumple con las especificaciones, recomendado 100%",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Está bien el producto es pegador, entonces lo recomiendo y más por su costo.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Lo recomiendo bastante, cumple las Expectativas y Tiene buen sabor 👌",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Delish delish!!!!😎,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Me puso hasta mi ptm, 100%",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,me encantó! recomiendo mucho,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Execelente producto, lo recomiendo al 100%",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, súper recomendable",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Me comí las 2 y apenas y sentí el trip,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Pocos edibles me han dado un viaje tan satisfactorio,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, fue mi primera vez con comestibles y me gustó bastante la experiencia y la calidad de sus productos y lo rápido que me llego",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Pega chido, lo recomiendo",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Como siempre buen producto, soy consumidor habitual y una sola gomita me pega fuerte. Altamente recomendable",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, lo recomiendo y el sabor deli.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"lo mejor de lo mejor, el viaje increíble y a un precio razonable, sabor muy bueno",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto y excelente Trypp 👌🏼🤙🏽,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Están muy chiditas,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Ya son mis favoritos, el viaje está bien y duermes mejor ❤️",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,No fue el efecto esperado.,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Pega bien (tengo buena resistencia), saben rico, aunque el viaje dura poco.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Todos los productos superaron mis expectativas de calidad y potencia. Los recomiendo 100% y además los sabores siempre son muy buenos,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy buen producto 100% recomendable,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto y la entrega muy bien,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buena calidad y efecto rápido, buen tryp cuidado con el bajón. Ya no pude moverme jajaja",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"A toda la banda que comienza con los comestibles, este es un muy buen producto; con una andas super high. 🌱",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buen producto, si eres alguien experimentado busca algo de mayo gramaje, pero si eres principiante es buena opción.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,,"Excelente producto, y atención del repartidor.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Mejor trip, efecto moderado en 1hr por 2hrs.",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy recomendable!!!,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente 👌 lo recomiendo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Las gomitas excelentes 100 las recomiendo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, excedió mis expectativas",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto! 👌🏻,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buen producto, te brinda el Tryp perfecto, 100% lo recomiendo 👌",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente dosis,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"La potencia esta muy bien con una gomita te pones chido si no consumes tanto, pero el sabor de la raspberry es horrible sabe a pura pintura",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto si fuera rico lo compraría mil veces,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente app,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Buen producto!!!,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Llego en tiempo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Bien empacado y discreto,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,100% recomendable 🫶🏻,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Exelente producto, lo recomiendo 100% , me gustó muchísimo",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
